id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,125,32,19,2021-02-26,0.27,1,106
6695,$99 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,169,29,115,2019-11-02,0.81,4,40
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,96,29,5,2020-12-02,0.08,11,307
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,96,29,2,2016-05-23,0.03,11,293
13247,Back Bay studio apartment,51637,Susan,,Back Bay,42.35164,-71.08752,Entire home/apt,75,91,0,,,2,0
16384,Small Room in Cambridge Kendall MIT,23078,Eric,,Beacon Hill,42.35956,-71.0698,Private room,50,91,0,,,1,365
18711,The Dorset Redline | 3BR 1BA | Short walk to Redline for Mass General and UMass!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,111,30,52,2019-10-05,0.39,29,252
22195,Copley House - Premium Studio,85130,Copley,,South End,42.34363,-71.07985,Private room,140,1,30,2021-03-14,0.23,6,0
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34487,-71.07441,Private room,148,29,316,2019-12-13,2.67,4,90
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,226,2,93,2018-10-21,0.70,2,179
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,85,28,78,2020-12-31,0.60,1,261
45987,Gorgeous Garden Studio Charlestown,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,125,29,130,2019-12-10,1.00,1,89
60029,Room in geographical heart of Hub,255183,,,Roxbury,42.32546,-71.08894,Private room,78,14,141,2019-08-13,1.12,5,110
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Downtown,42.35689,-71.06206,Entire home/apt,90,91,44,2019-10-30,0.43,5,265
69369,Entire two-bedroom apartment near Longwood,255183,,,Roxbury,42.32546,-71.08894,Entire home/apt,100,28,120,2019-11-15,0.99,5,47
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37865,-71.06373,Private room,140,2,54,2019-11-02,0.46,1,359
163941,$99* SPECIAL* 2 bed ApT! Location!,8229,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,231,29,228,2019-12-30,1.94,4,0
182613,Great 2BR in Boston near everything w free parking,875739,Max,,Charlestown,42.37739,-71.06199,Entire home/apt,129,91,107,2020-11-22,0.90,1,12
190170,In-Law Suite w/Room to Spare :-),841314,Fanny & Candice,,Dorchester,42.30953,-71.0706,Entire home/apt,40,7,72,2021-01-16,0.61,1,0
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.31331,-71.12061,Private room,50,30,47,2021-01-31,0.40,1,113
197972,Serene Studio in a Perfect Location,965697,Chris & Kristina,,Jamaica Plain,42.31533,-71.11025,Entire home/apt,135,4,400,2021-04-18,3.45,2,77
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31685,-71.10867,Entire home/apt,93,3,205,2021-04-12,1.75,1,182
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36614,-71.05226,Private room,145,3,251,2020-03-03,2.16,1,81
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,,South Boston,42.33255,-71.04125,Entire home/apt,257,2,338,2020-12-06,3.17,1,189
276450,19th Century Luxury | South End | 1BR 1BA #3,814298,Thatch,,Roxbury,42.33855,-71.07975,Entire home/apt,280,30,93,2020-08-20,0.85,96,25
322593,"Near Hospitals, 28 Day Bking Only,OutdoorSpace",1651480,Edward,,South End,42.34232,-71.07594,Entire home/apt,218,28,409,2020-07-31,4.16,4,16
349347,Experience Past|Enjoy Present|South End 1BR 1BA #2,814298,Thatch,,Roxbury,42.33811,-71.08139,Entire home/apt,200,30,111,2019-09-19,1.02,96,61
350205,6-7mo rental; Stunning LARGE 1BD/1BA w/ roof-deck!,411715,Kyle,,Back Bay,42.34736,-71.08653,Entire home/apt,143,183,35,2015-01-07,0.33,1,216
352585,Room in Sunny Brookline Apartment,1785210,Judith,,Allston,42.34749,-71.12403,Private room,85,2,109,2019-11-04,0.98,1,23
400067,Private Room in Spacious Apartment1,1997048,ToRena,,Dorchester,42.30066,-71.08207,Private room,60,91,24,2019-10-07,0.25,4,363
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,71,3,313,2020-03-01,2.91,1,230
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.31062,-71.1176,Private room,173,91,16,2016-06-26,0.17,1,0
507525,"Great location, sunny 1-bedroom!",2501324,Guy,,Bay Village,42.34914,-71.06781,Entire home/apt,65,180,9,2013-07-01,0.08,1,0
526970,BACK BAY/COPLEY FIRST FLOOR ROOM,85770,Robert,,South End,42.34491,-71.07368,Private room,148,29,175,2019-10-31,1.63,4,90
530983,The Grand View Redline | 5BR 2BA | Victorian Home near Boston Medical and Mass General!,71783,Lance,,Dorchester,42.31368,-71.0612,Entire home/apt,179,30,67,2019-10-29,0.65,29,239
533152,The Penthouse w/Central AC | 2BR 1BA w/En-Suite HdTV's! | Short walk to the Redline for UMass and Mass General!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,101,30,56,2020-08-01,0.65,29,249
561769,The Sky View w/AC | 3BR 1BA w/En-Suite HdTV's | Short Walk to Redline for Mass General and Boston Medical!,71783,Lance,,Dorchester,42.31371,-71.06126,Entire home/apt,101,30,61,2021-01-01,0.58,29,241
568234,Stay on your own separate floor,2796082,Margaret,,Jamaica Plain,42.3036,-71.10539,Private room,109,1,272,2020-07-22,2.55,2,314
583255,"Boston Beauty, Walk to C and B line",306407,Valery,,Brighton,42.34096,-71.14647,Entire home/apt,149,91,12,2017-07-05,0.12,1,0
601763,"The Alameda 2 w/AC | 2BR 1BA w/En-Suite HdTV's | Short walk to train, shops and near Faulkner!",71783,Lance,,West Roxbury,42.29192,-71.15407,Entire home/apt,103,30,38,2020-08-28,0.77,29,285
611081,Houseboat in Boston Harbor,3029783,Deborah,,Charlestown,42.37579,-71.04981,Entire home/apt,219,2,41,2021-04-10,0.73,3,293
619142,Getaway in Historic Charlestown,501427,Joe,,Charlestown,42.37828,-71.06411,Entire home/apt,175,91,168,2019-10-25,1.59,1,365
646087,1 Bed in Charming Southie Townhouse near BCEC,3236611,Ingrid,,South Boston,42.33451,-71.04983,Private room,190,1,7,2019-06-13,0.12,1,173
708802,Boston / Charlestown Apartment,3648427,Gerard  And Marie,,Charlestown,42.37926,-71.06364,Entire home/apt,100,2,374,2020-01-31,3.60,1,173
743211,Unique Find: At Home in the City!,2796082,Margaret,,Jamaica Plain,42.30702,-71.11283,Entire home/apt,571,29,70,2020-10-05,0.71,2,319
743759,AVAILABLE NOW: Private room & shared bath,7969,Carolyn,,Roslindale,42.29239,-71.13193,Private room,25,91,5,2019-09-30,0.05,2,365
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28573,-71.12334,Private room,55,91,142,2019-07-27,2.08,1,365
