id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2384,"Hyde Park - Walk to UChicago, 10 min to McCormick",2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,65,2,182,2021-03-28,2.38,1,0
4505,394 Great Reviews. 127 y/o House. 40 yds to train.,5775,Craig & Kathleen,,South Lawndale,41.85373,-87.6954,Entire home/apt,113,2,395,2020-07-14,2.67,1,180
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90166,-87.68021,Entire home/apt,65,2,394,2021-04-11,2.74,1,267
9811,Barbara's Hideaway - Old Town,33004,At Home Inn,,Lincoln Park,41.91943,-87.63898,Entire home/apt,120,5,54,2021-01-15,0.63,11,1
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91196,-87.63981,Entire home/apt,175,4,22,2021-03-25,0.26,11,125
12068,Chicago GOLD COAST 1 Bedroom Condo,40731,Dominic,,Near North Side,41.90491,-87.63213,Entire home/apt,99,7,9,2019-01-14,0.12,1,238
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.92357,-87.64947,Private room,289,2,5,2021-01-04,0.07,1,179
22362,Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ,85811,Craig,,West Town,41.8973,-87.65889,Entire home/apt,105,121,9,2014-10-12,0.10,1,192
24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,,Lincoln Park,41.92714,-87.65529,Entire home/apt,77,32,37,2018-07-29,0.28,3,353
25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92499,-87.65573,Entire home/apt,94,32,47,2020-05-11,0.36,3,211
28749,"Sanitized, Huge, Quirky Bucktown Loft + Parking",27506,Laurie,,Logan Square,41.92138,-87.67931,Entire home/apt,98,2,86,2021-04-11,0.68,1,311
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97303,-87.66567,Private room,110,3,250,2020-03-15,1.91,2,0
67940,Peaceful 1-BR Condo Steps From McCormick Place,335208,Aksh,,Near South Side,41.84576,-87.61871,Entire home/apt,76,1,16,2020-03-20,0.13,1,272
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,59,2,70,2020-07-09,0.58,2,171
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,50,3,80,2021-02-07,0.66,2,185
126280,"Near Lake, Wrigley and Weiss Hospital",626517,Gail,,Uptown,41.96852,-87.65225,Private room,35,3,162,2020-03-08,1.35,1,138
144840,Great 3 Bedroom in Great Wrigley/Lakeview Location,701615,Daniel,,Lake View,41.94138,-87.65694,Entire home/apt,175,2,12,2019-10-20,0.19,1,359
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94342,-87.68121,Entire home/apt,195,2,37,2021-03-21,0.55,23,245
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91289,-87.63864,Entire home/apt,230,2,58,2021-03-28,0.81,23,308
