id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,150,2,277,2021-04-05,1.94,1,112
5858,Creative Sanctuary,8904,,,Bernal Heights,37.74474,-122.42089,Entire home/apt,195,30,111,2017-08-06,0.76,1,365
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,19,2020-03-06,0.13,8,365
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,8,2018-09-12,0.10,8,365
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77564,-122.43642,Entire home/apt,795,7,28,2019-06-28,0.20,2,364
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.7603,-122.42197,Private room,169,1,735,2020-03-16,5.17,2,169
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75831,-122.41386,Entire home/apt,150,30,337,2019-05-27,2.39,1,322
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79249,-122.41499,Entire home/apt,120,30,18,2015-05-17,0.16,1,365
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.77025,-122.43836,Entire home/apt,170,30,37,2018-12-01,0.27,39,258
10824,Victorian House in Hayes Valley - 3BED-2BA,38836,Bernat,,Western Addition,37.77424,-122.42441,Entire home/apt,166,30,15,2019-08-18,0.14,39,280
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.78527,-122.40861,Entire home/apt,101,30,20,2019-11-12,0.20,39,337
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,65,32,6,2018-09-20,0.05,8,365
